algoritmo,representacion,seed,tiempo_s,memoria_mb,silhouette,calinski_harabasz,davies_bouldin,ari,nmi
KMeans,Binaria,0,4.058153099991614,53.36918354034424,0.08247442390519995,839.3178391725924,1.7675637511205775,0.15613769731271737,0.2673967559816398
KMeans,Binaria,10,1.8872854000073858,53.19361209869385,0.12907342366551136,542.9979827728102,1.413866759611281,0.07382817176435856,0.09302658685117857
KMeans,Binaria,42,2.4362927000038326,53.19166088104248,0.09185313323630172,837.0004118754225,1.8485592158324882,0.1466993798250302,0.2595431330458919
KMeans,Binaria,100,2.8911043999833055,53.18734931945801,0.08896972032183988,843.3499498210498,1.7361965048283627,0.15032788361947919,0.26234601003655017
KMeans,Frecuencia,0,2.9251947999873664,53.196396827697754,0.17281839404520297,760.0183779115685,2.254601232156946,0.09918603741020898,0.2243226475292446
KMeans,Frecuencia,10,3.2862677999946754,53.1953763961792,0.1617132565030673,759.913276774836,2.3094154365163844,0.10462763701035008,0.22651709152917063
KMeans,Frecuencia,42,2.9979776999971364,53.194801330566406,0.18137490520659497,756.2910290965078,2.138517269456679,0.08540885633448406,0.20754313259092996
KMeans,Frecuencia,100,3.1425830999796744,53.1937780380249,0.1753417232422874,760.2362051219241,2.228055545284033,0.09819941542701016,0.2230243606786263
KMeans,TF-IDF,0,2.603256100002909,53.19051170349121,0.007235559160080781,616.3205239058308,2.971260419686299,0.5547839961597028,0.6088673659366092
KMeans,TF-IDF,10,3.0082276000175625,53.19023609161377,0.005623528650301611,635.1769464422928,2.714521374606904,0.3406038457003595,0.4368347602066108
KMeans,TF-IDF,42,2.974317800020799,53.18498992919922,0.00686507219255979,617.1954914025813,2.9273541846732134,0.4467380934913733,0.5431108586476844
KMeans,TF-IDF,100,2.937671899999259,53.1922082901001,0.005656033712232326,635.2162052731494,2.711442703114993,0.3346905750019945,0.4315397974353174
GaussianMixture,TF-IDF,0,1.5944542000070214,24.49228286743164,0.0614546351140343,293.9115144156413,2.7756282274651505,0.30118267315934105,0.3753496109149134
GaussianMixture,TF-IDF,10,6.218785200006096,24.490652084350586,0.003968184247738752,306.8093650471032,4.375122111199996,0.4984313861466121,0.5216485003517991
GaussianMixture,TF-IDF,42,2.3740499999839813,24.489177703857422,0.009872303116331247,360.2713617874103,3.831496557550628,0.7300107953946521,0.6902785253447496
GaussianMixture,TF-IDF,100,1.6163174000103027,24.488740921020508,0.02974774575900716,316.1321741172614,4.613902589762019,0.44513773703344206,0.49405289861546664
